"treeID","stemID","tag","StemTag","sp","quadrat","gx","gy","dbh","hom","ExactDate","DFstatus","codes","date","status","agb","plot","census","plotID"
453830,453404,"000039","","myrcze","1637",338.4,745.1,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453831,453405,"000040","","des2pa","1637",335.4,747.1,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453832,453406,"000063","","drypst","1938",397.7,768.1,348,1.3,"2008-03-31","alive",NA,17622,"A",1.19265216438774,"gigante2",5,157
453833,453407,"000064","","protte","1939",380.8,781,307,1.3,"2008-03-31","alive",NA,17622,"A",0.72974624275667,"gigante2",5,157
453834,453408,"000065","","tri4ga","1939",389.7,785.9,NA,NA,NA,NA,NA,17622,"D",0,"gigante2",5,157
453835,453409,"000066","","vochfe","1939",382.1,794.6,NA,1.3,"2008-03-31","dead","D;S",17622,"D",0,"gigante2",5,157
453836,453410,"000067","","virosu","1939",392,788.7,539,1.3,"2008-03-31","alive",NA,17622,"A",2.50577959463744,"gigante2",5,157
453837,453411,"000068","","virosu","1939",394.1,782.6,272,1.3,"2008-03-31","alive",NA,17622,"A",0.442980307796058,"gigante2",5,157
453838,453412,"001288","","case6","1937",396,753.2,278,1.3,"2008-03-31","alive",NA,17622,"A",0.624282709644846,"gigante2",5,157
453839,453413,"001289","","sterre","1937",394.3,748.9,337,1.3,"2008-03-31","alive",NA,17622,"A",0.797479113793643,"gigante2",5,157
453840,453414,"001290","","tet2pa","1938",388.1,761,371,1.3,"2008-03-31","alive",NA,17622,"A",1.19752068356404,"gigante2",5,157
453841,453415,"001291","","tri2tu","1938",380.8,763.9,207,1.3,"2008-03-31","alive",NA,17622,"A",0.287877991464784,"gigante2",5,157
453842,453416,"001292","","beilpe","1938",380.6,764.9,320,1.3,"2008-03-31","alive",NA,17622,"A",0.817305196843588,"gigante2",5,157
453843,453417,"001293","","copaar","1938",381.9,768.3,885,1.4,"2008-03-31","alive",NA,17622,"A",10.7309910887132,"gigante2",5,157
453844,453418,"001294","","drypst","1938",383.9,768.5,216,1.3,"2008-03-31","alive",NA,17622,"A",0.346291874182418,"gigante2",5,157
453845,453419,"001295","","coccpa","1938",386,772.7,NA,NA,NA,NA,NA,17622,"V",0,"gigante2",5,157
453846,453420,"001296","","lacmpa","1938",385.7,779.1,212,1.3,"2008-03-31","alive",NA,17622,"A",0.230308302540009,"gigante2",5,157
453847,453421,"001297","","apeime","1938",399,779.1,490,2.43,"2008-03-31","alive","B;cylY",17622,"A",1.16511144179432,"gigante2",5,157
453848,453422,"001298","","drypst","1938",399.8,775.8,334,1.3,"2008-03-31","alive",NA,17622,"A",1.07368674043679,"gigante2",5,157
453849,453423,"001299","","simaam","1938",398.4,769.4,NA,NA,NA,NA,NA,17622,"D",0,"gigante2",5,157
453850,453424,"003004","","pse2sp","1935",380.8,704.1,251,1.3,"2008-03-28","alive",NA,17619,"A",0.512909109881848,"gigante2",5,157
453851,453425,"003005","","beilpe","1935",385.3,706.9,281,1.3,"2008-03-28","alive",NA,17619,"A",0.58440167395745,"gigante2",5,157
453852,453426,"003006","","alsebl","1935",382.8,709.9,237,1.3,"2008-03-28","alive",NA,17619,"A",0.35062217553445,"gigante2",5,157
453853,453427,"003007","","beilpe","1935",384.7,716.3,423,1.85,"2008-03-28","alive",NA,17619,"A",1.66237829944217,"gigante2",5,157
453854,453428,"003008","","tab1gu","1935",394.7,715.8,423,1.3,"2008-03-28","alive","Q",17619,"A",1.79275215848566,"gigante2",5,157
453855,453429,"003009","","alsebl","1935",394.9,716.8,283,1.3,"2008-03-28","alive",NA,17619,"A",0.556308415048534,"gigante2",5,157
453856,453430,"003010","","tet2pa","1935",392.1,711.3,575,2.2,"2008-03-28","alive",NA,17619,"A",3.57336299566324,"gigante2",5,157
453857,453431,"003011","","alsebl","1935",398,712.8,295,1.3,"2008-03-28","alive",NA,17619,"A",0.619397370349323,"gigante2",5,157
453858,453432,"003012","","apeime","1935",395.5,701.8,629,1.3,"2008-03-28","alive",NA,17619,"A",2.14844330160871,"gigante2",5,157
453859,453433,"003013","","entesc","1936",388.1,728.6,717,1.3,"2008-03-31","alive","Q",17622,"A",7.38465849391709,"gigante2",5,157
453860,453434,"003014","","jac1co","1936",382.8,734.1,523,1.3,"2008-03-31","alive",NA,17622,"A",1.72479023771598,"gigante2",5,157
453861,453435,"003015","","beilpe","1936",395.2,732.9,223,1.3,"2008-03-31","alive",NA,17622,"A",0.319891320927482,"gigante2",5,157
453862,453436,"003016","","jac1co","1936",398.5,728.1,NA,1.3,"2008-03-31","dead","D;C",17622,"D",0,"gigante2",5,157
453863,453437,"003017","","pri2co","1937",383.7,746,NA,1.3,"2008-03-31","dead","D;S",17622,"D",0,"gigante2",5,157
453864,453438,"003018","","jac1co","1937",390.8,756.4,304,1.3,"2008-03-31","alive",NA,17622,"A",0.437913054404048,"gigante2",5,157
453865,453439,"003019","","zantpr","1937",392.4,755.7,NA,NA,NA,NA,NA,17622,"D",0,"gigante2",5,157
453866,453440,"003020","","jac1co","1937",393.4,755.4,410,1.3,"2008-03-31","alive",NA,17622,"A",0.939570163860766,"gigante2",5,157
453867,453441,"003628","","protte","1835",360.7,708.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453868,453442,"003629","","beilpe","1835",372.1,718.7,NA,1.3,"2008-03-18","dead","D;C",17609,"D",0,"gigante2",5,157
453869,453443,"003630","","alsebl","1835",377.1,712.5,275,1.3,"2008-03-18","alive",NA,17609,"A",0.516458066626793,"gigante2",5,157
453870,453444,"003631","","tet2pa","1835",374.2,711.5,279,1.3,"2008-03-18","alive",NA,17609,"A",0.57590011737116,"gigante2",5,157
453871,453445,"003632","","copaar","1835",374.2,706.6,404,1.3,"2008-03-18","alive",NA,17609,"A",1.60052840160839,"gigante2",5,157
453872,453446,"003633","","entesc","1836",364.8,721.6,NA,NA,NA,NA,NA,17609,"D",0,"gigante2",5,157
453873,453447,"003634","","beilpe","1836",364.7,728.2,NA,NA,NA,NA,NA,17609,"D",0,"gigante2",5,157
453874,453448,"003635","","dialgu","1836",365.5,734.7,NA,1.3,"2008-03-18","dead","D;C",17609,"D",0,"gigante2",5,157
453875,453449,"003636","","pse2sp","1836",374.2,721,NA,1.3,"2008-03-18","dead","D;S",17609,"D",0,"gigante2",5,157
453876,453450,"003637","","jac1co","1837",378.5,755.4,521,1.3,"2008-03-18","alive",NA,17609,"A",1.70856591025631,"gigante2",5,157
453877,453451,"003638","","guetfo","1837",373.6,755.7,203,1.3,"2008-03-18","alive",NA,17609,"A",0.31604526983867,"gigante2",5,157
453878,453452,"003639","","drypst","1837",371.9,752.5,216,1.3,"2008-03-18","alive",NA,17609,"A",0.346291874182418,"gigante2",5,157
453879,453453,"003640","","heisco","1837",369,752.2,NA,1.3,"2008-03-18","dead","D;S",17609,"D",0,"gigante2",5,157
453880,453454,"003641","","ficuma","1837",377.1,751.5,378,1.3,"2008-03-18","alive",NA,17609,"A",0.786329767823323,"gigante2",5,157
453881,453455,"003642","","alsebl","1837",372.3,746.1,237,1.3,"2008-03-18","alive",NA,17609,"A",0.35062217553445,"gigante2",5,157
453882,453456,"003643","","sloazu","1838",366,760.3,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453883,453457,"003644","","vataer","1838",362.5,772.5,230,1.3,"2008-03-18","alive",NA,17609,"A",0.407822978890981,"gigante2",5,157
453884,453458,"003645","","virose","1838",371.6,773.2,455,1.8,"2008-03-18","alive",NA,17609,"A",1.55006549785119,"gigante2",5,157
453885,453459,"003646","","calolo","1838",375.8,763.4,555,1.3,"2008-03-18","alive",NA,17609,"A",3.08497627331828,"gigante2",5,157
453886,453460,"003647","","vataer","1839",369.5,788.3,541,3.14,"2008-03-18","alive","B;cylY",17609,"A",3.60474031741248,"gigante2",5,157
453887,453461,"003648","","annosp","1839",361.2,798.7,237,1.3,"2008-03-18","alive",NA,17609,"A",0.365667530081637,"gigante2",5,157
453888,453462,"003649","","dialgu","1839",361.5,799.4,203,1.3,"2008-03-18","alive",NA,17609,"A",0.39066728152122,"gigante2",5,157
453889,453463,"003913","","beilpe","1635",323.1,704.1,395,1.3,"2008-03-18","alive",NA,17609,"A",1.39853506044192,"gigante2",5,157
453890,453464,"003914","","cecrin","1635",327,705.4,342,1.6,"2008-03-18","alive",NA,17609,"A",0.536587522293293,"gigante2",5,157
453891,453465,"003915","","pourbi","1635",325.8,710.3,431,2.94,"2008-03-18","alive","B;cylY",17609,"A",1.07306900551338,"gigante2",5,157
453892,453466,"003916","","prottr","1635",331.8,719.1,NA,NA,"2008-03-18","dead","D",17609,"D",0,"gigante2",5,157
453893,453467,"003917","","simaam","1635",337.2,716.5,485,1.3,"2008-03-18","alive",NA,17609,"A",1.5696314716724,"gigante2",5,157
453894,453468,"003918","","protte","1635",333,713.3,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453895,453469,"003919","","simaam","1635",328.6,705.9,311,1.3,"2008-03-18","alive",NA,17609,"A",0.509364098322082,"gigante2",5,157
453896,453470,"003920","","buchca","1635",333.8,701.6,410,2.92,"2008-03-18","alive","Q;B;cylY",17609,"A",1.65972589545799,"gigante2",5,157
453897,453471,"003921","","zantbe","1636",322,733.1,466,1.3,"2008-03-18","alive",NA,17609,"A",2.25126828306693,"gigante2",5,157
453898,453472,"003922","","tri2tu","1636",330.7,738.5,242,1.3,"2008-03-18","alive",NA,17609,"A",0.433487188684897,"gigante2",5,157
453899,453473,"003923","","pri2co","1636",331.5,730.7,745,1.3,"2008-03-18","alive",NA,17609,"A",4.78541250877266,"gigante2",5,157
453900,453474,"003924","","lindla","1637",334.55,757.17,291,1.3,"2008-03-19","alive",NA,17610,"A",0.624695398972555,"gigante2",5,157
453901,453475,"003925","","cordbi","1637",337.8,754.2,205,1.3,"2008-03-19","alive",NA,17610,"A",0.212423970859377,"gigante2",5,157
453902,453476,"003926","","tet2pa","1637",337.4,748.9,329,1.3,"2008-03-19","alive",NA,17610,"A",0.881031719876948,"gigante2",5,157
453903,453477,"003927","","alsebl","1638",323.7,765.6,NA,NA,NA,NA,NA,17611,"D",0,"gigante2",5,157
453904,453478,"003928","","heisco","1638",323.2,769.1,313,1.3,"2008-03-20","alive",NA,17611,"A",0.861624023611978,"gigante2",5,157
453905,453479,"003929","","copaar","1638",328.7,771.7,555,1.3,"2008-03-20","alive",NA,17611,"A",3.52893964844527,"gigante2",5,157
453906,453480,"003930","","aspicr","1638",338.1,765.6,744,1.3,"2008-03-20","alive",NA,17611,"A",8.62524595817955,"gigante2",5,157
453907,453481,"003931","","tet2pa","1639",320.5,789.3,NA,NA,NA,NA,NA,17611,"D",0,"gigante2",5,157
453908,453482,"003932","","virosp","1639",326.7,792.6,384,1.3,"2008-03-20","alive",NA,17611,"A",1.03973640643587,"gigante2",5,157
453909,453483,"003933","","luehse","1639",331.9,796.8,283,1.3,"2008-03-20","alive",NA,17611,"A",0.432799643797087,"gigante2",5,157
453910,453484,"003934","","tratas","1639",333.3,788.7,NA,1.3,"2008-03-20","dead","D;S",17611,"D",0,"gigante2",5,157
453911,453485,"003935","","pri2co","1639",330.4,780.4,640,1.3,"2008-03-20","alive",NA,17611,"A",3.3287902236415,"gigante2",5,157
453912,453486,"004101","","alsebl","1839",376,794,224,1.3,"2008-03-18","alive",NA,17609,"A",0.302496160158362,"gigante2",5,157
453913,453487,"004102","","pit1ba","1839",371.3,786.4,254,1.3,"2008-03-18","alive",NA,17609,"A",0.444195855373754,"gigante2",5,157
453914,453488,"004103","","protte","1839",371.7,781.8,NA,NA,NA,NA,NA,17609,"D",0,"gigante2",5,157
453915,453489,"004104","","pri2co","1739",340.4,782.9,1098,1.3,"2008-11-28","alive",NA,17864,"A",11.682977017744,"gigante2",5,157
453916,453490,"004105","","pochse","1739",345.9,784.3,455,1.3,"2008-11-28","alive",NA,17864,"A",1.46175135357283,"gigante2",5,157
453917,453491,"004106","","sponra","1739",342.9,787.9,219,1.3,"2008-11-28","alive",NA,17864,"A",0.229084440336748,"gigante2",5,157
453918,453492,"004108","","heisco","1739",340.2,797.3,230,1.3,"2008-11-28","alive",NA,17864,"A",0.387078016447023,"gigante2",5,157
453919,453493,"004109","","annosp","1739",357.4,796.7,NA,NA,NA,NA,NA,17835.1764705882,"D",0,"gigante2",5,157
453920,453494,"004110","","loncla","1739",358.1,793.5,306,1.7,"2008-11-28","alive",NA,17864,"A",0.872236173520313,"gigante2",5,157
453921,453495,"004111","","alsebl","1738",343.5,766.7,468,1.3,"2008-11-28","alive",NA,17864,"A",2.00139892090083,"gigante2",5,157
453922,453496,"004112","","drypst","1738",341.7,772.6,257,1.3,"2008-11-28","alive",NA,17864,"A",0.545465491381897,"gigante2",5,157
453923,453497,"004113","","licapl","1738",354.3,777.9,445,1.3,"2008-11-28","alive",NA,17864,"A",2.56910593249125,"gigante2",5,157
453924,453498,"004114","","pri2co","1738",354.4,775.4,1298,1.3,"2008-11-28","alive",NA,17864,"A",16.8814677909771,"gigante2",5,157
453925,453499,"004115","","tachve","1738",358.9,771.4,579,2.68,"2008-11-28","alive","B;cylY",17864,"A",3.51823937992216,"gigante2",5,157
453926,453500,"004116","","heisco","1738",355.6,769.1,216,1.3,"2008-11-28","alive",NA,17864,"A",0.328335999224811,"gigante2",5,157
453927,453501,"004117","","tab1gu","1738",355.9,761.5,294,1.3,"2008-11-28","alive",NA,17864,"A",0.708474323017827,"gigante2",5,157
453928,453502,"004118","","drypst","1737",340.3,749.1,246,1.3,"2008-03-27","alive",NA,17618,"A",0.48668795465455,"gigante2",5,157
453929,453503,"004119","","tachve","1737",344.4,749.6,726,4.8,"2008-03-27","alive","B;cylY",17618,"A",6.06585243795567,"gigante2",5,157
453930,453504,"004120","","tab1gu","1737",346.5,759.5,217,1.3,"2008-03-27","alive",NA,17618,"A",0.32116778788442,"gigante2",5,157
453931,453505,"004121","","casear","1737",351.5,750.4,NA,NA,"2008-03-27","dead","D;S",17618,"D",0,"gigante2",5,157
453932,453506,"004122","","tet2pa","1737",351,744.5,NA,NA,NA,NA,NA,17618,"D",0,"gigante2",5,157
453933,453507,"004123","","micoar","1736",349,725.9,308,1.3,"2008-03-25","alive",NA,17616,"A",0.760750608433441,"gigante2",5,157
453934,453508,"004124","","virosu","1736",342.9,729.3,330,2.17,"2008-03-25","alive","B;cylY",17616,"A",0.729514770635732,"gigante2",5,157
453935,453509,"004125","","laetpr","1736",342.3,739.2,508,1.3,"2008-03-25","alive",NA,17616,"A",2.96279934951439,"gigante2",5,157
453936,453510,"004126","","gar2ma","1736",348.1,738.7,245,1.3,"2008-03-25","alive",NA,17616,"A",0.518401244887323,"gigante2",5,157
453937,453511,"004127","","jac1co","1736",353.3,735.4,476,1.3,"2008-03-25","alive",NA,17616,"A",1.36584914425491,"gigante2",5,157
453938,453512,"004128","","dialgu","1735",342.2,702.9,342,3.04,"2008-03-24","alive","B;cylY",17615,"A",1.51492600368779,"gigante2",5,157
453939,453513,"004129","","alsebl","1735",340.2,703.5,303,1.3,"2008-03-24","alive",NA,17615,"A",0.663693084350971,"gigante2",5,157
453940,453514,"004130","","pri2co","1735",349.2,708.6,NA,NA,NA,NA,NA,17615.0606060606,"D",0,"gigante2",5,157
453941,453515,"005551","","oenoma","1636",320.9,728.6,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453942,453516,"005552","","simaam","1636",324,731,285,1.3,"2008-03-18","alive",NA,17609,"A",0.406563249085132,"gigante2",5,157
453943,453517,"005553","","nectpu","1636",323.9,734,164,1.3,"2008-03-18","alive",NA,17609,"A",0.138628544001857,"gigante2",5,157
453944,453518,"005554","","heisco","1636",329.2,731.4,179,1.3,"2008-03-18","alive",NA,17609,"A",0.200201195629623,"gigante2",5,157
453945,453519,"005555","","apeime","1636",328.3,728.2,182,1.3,"2008-03-18","alive",NA,17609,"A",0.0909722464678419,"gigante2",5,157
453946,453520,"005556","","simaam","1636",329.4,724.6,169,1.3,"2008-03-18","alive",NA,17609,"A",0.103362954576646,"gigante2",5,157
453947,453521,"005557","","simaam","1636",326.5,721.1,210,1.3,"2008-03-18","alive",NA,17609,"A",0.183262358228685,"gigante2",5,157
453948,453522,"005558","","licahy","1636",333.2,727.3,126,1.3,"2008-03-18","alive",NA,17609,"A",0.112118336092036,"gigante2",5,157
453949,453523,"005559","","oenoma","1636",330.6,737.9,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453950,453524,"005560","","nect3","1636",339.3,729.3,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453951,453525,"005561","","oenoma","1636",339.3,720.7,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453952,453526,"005562","","oenoma","1637",324.2,740.6,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453953,453527,"005563","","pse2sp","1637",323.2,742.5,182,1.3,"2008-03-19","alive","Q",17610,"A",0.220621580501749,"gigante2",5,157
453954,453528,"005564","","pse2sp","1637",321.3,742.8,147,1.3,"2008-03-19","alive",NA,17610,"A",0.125370424362912,"gigante2",5,157
453955,453529,"005565","","oenoma","1637",320.2,752.1,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453956,453530,"005566","","oenoma","1637",321.4,758.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453957,453531,"005567","","oenoma","1637",328.6,751.8,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453958,453532,"005568","","oenoma","1637",328.5,746.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453959,453533,"005569","","maytsc","1637",328.6,742.3,126,1.3,"2008-03-19","alive",NA,17610,"A",0.0875919565933108,"gigante2",5,157
453960,453534,"005570","","heisco","1737",344.1,759.3,130,1.3,"2008-03-27","alive",NA,17618,"A",0.0857889741176058,"gigante2",5,157
453961,453535,"005571","","tet2pa","1737",349.4,756.4,221,1.3,"2008-03-27","alive",NA,17618,"A",0.313632722273496,"gigante2",5,157
453962,453536,"005572","","oenoma","1737",354.1,741.3,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453963,453537,"005573","","coccpa","1737",354.4,745.4,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453964,453538,"005574","","sloazu","1737",357.2,751.7,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453965,453539,"005575","","oenoma","1737",359.1,749.3,NA,NA,NA,NA,NA,17618,"V",0,"gigante2",5,157
453966,453540,"005576","","drypst","1736",341.8,736.4,183,1.3,"2008-03-25","alive",NA,17616,"A",0.223835411361826,"gigante2",5,157
453967,453541,"005577","","sloazu","1736",340.5,739.5,129,1.3,"2008-03-25","alive",NA,17616,"A",0.0820415574756407,"gigante2",5,157
453968,453542,"005578","","aspicr","1736",349.2,732.8,150,1.3,"2008-03-25","alive",NA,17616,"A",0.146533352809702,"gigante2",5,157
453969,453543,"005579","","oenoma","1736",346.4,725.3,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
453970,453544,"005580","","beilpe","1736",345.6,726.1,NA,NA,"2008-03-25","dead","D;N",17616,"D",0,"gigante2",5,157
453971,453545,"005581","","dialgu","1736",346.1,720.6,201,1.3,"2008-03-25","alive",NA,17616,"A",0.380622760533624,"gigante2",5,157
453972,453546,"005582","","cordbi","1736",349.4,721.2,182,1.3,"2008-03-25","alive",NA,17616,"A",0.155252223316045,"gigante2",5,157
453973,453547,"005583","","dio2ar","1736",354,728.4,NA,1.3,"2008-03-25","broken below","R",17616,"AR",0,"gigante2",5,157
453974,453548,"005584","","pourbi","1736",354.5,729.4,NA,2.6,"2008-03-25","dead","D;C",17616,"D",0,"gigante2",5,157
453975,453549,"005585","","heisco","1736",354.4,738.6,237,1.3,"2008-03-25","alive","L",17616,"A",0.418653343921731,"gigante2",5,157
453976,453550,"005586","","ormocr","1736",355.7,736.1,NA,1.3,"2008-03-25","dead","D;N",17616,"AD",0,"gigante2",5,157
453977,453551,"005587","","socrex","1736",359.6,736.1,NA,1.3,"2008-03-25","missing",NA,17616,"M",0,"gigante2",5,157
453978,453552,"005589","","perexa","1736",359.3,724.1,NA,NA,NA,NA,NA,17616,"D",0,"gigante2",5,157
453979,453553,"011138","","protsp","1636",331.4,734,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453980,453554,"011139","","loncla","1636",331.9,734.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453981,453555,"011140","","oenoma","1636",334.5,734.5,NA,NA,NA,NA,NA,17609,"G",0,"gigante2",5,157
453982,453556,"011141","","pterro","1636",334.2,733.8,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453983,453557,"011142","","heisco","1636",333.5,733.7,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453984,453558,"011143","","ingago","1636",333.4,733.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453985,453559,"011144","","heisco","1636",334.5,732.9,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453986,453560,"011145","","heisac","1636",334.3,733.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453987,453561,"011146","","tab1gu","1636",334.6,733.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453988,453562,"011147","","dialgu","1636",333.7,731.5,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453989,453563,"011148","","heisco","1636",334.3,739.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
453990,453564,"011149","","hirtra","1637",333.3,741,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453991,453565,"011150","","soroaf","1637",332.5,740.3,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453992,453566,"011151","","laciag","1637",332.2,741,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453993,453567,"011152","","myr2fl","1637",330.9,740.8,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453994,453568,"011153","","heisco","1637",332,743.9,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453995,453569,"011154","","quasam","1637",332,744.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453996,453570,"011155","","heisco","1637",332.9,742.7,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453997,453571,"011156","","malmsp","1637",333.4,742,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453998,453572,"011157","","hirtra","1637",333.9,741,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
453999,453573,"011158","","heisco","1637",333.6,741.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454000,453574,"011159","","alsebl","1637",334,741.3,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454001,453575,"011160","","perexa","1637",334.3,741.3,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454002,453576,"011161","","bactc2","1637",334.6,745.2,NA,NA,NA,NA,NA,17610,"G",0,"gigante2",5,157
454003,453577,"011162","","hirtra","1637",334.3,745.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454004,453578,"011163","","heisco","1637",334.2,746.2,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454005,453579,"011164","","dialgu","1637",331.9,746.3,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454006,453580,"011165","","des2pa","1637",331.4,747,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454007,453581,"011166","","hirttr","1637",333.8,748.2,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454008,453582,"011167","","guarsp","1637",334.4,748.3,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454009,453583,"011168","","protsp","1637",334.3,749,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454010,453584,"011169","","dialgu","1637",333.9,749,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454011,453585,"011170","","swars2","1637",333.8,749.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454012,453586,"011171","","perexa","1637",334.6,749.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454013,453587,"011172","","heisco","1637",332.5,749.2,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454014,453588,"011173","","ingaum","1637",331.2,749.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454015,453589,"011174","","laciag","1637",337,749.2,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454016,453590,"011175","","malmsp","1637",338.3,749.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454017,453591,"011176","","mabeoc","1637",338.6,749.6,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454018,453592,"011177","","hirttr","1637",339.1,749.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454019,453593,"011178","","poutre","1637",337.9,748.8,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454020,453594,"011180","","soroaf","1637",337.5,748.5,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454021,453595,"011181","","crospa","1637",335.3,747.7,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454022,453596,"011182","","heisco","1637",335.4,747.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454023,453597,"011183","","oxanpa","1637",337.6,745.3,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454024,453598,"011184","","soroaf","1637",337.2,745.9,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454025,453599,"011185","","pterro","1637",338.2,745.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454026,453600,"011186","","tet2pa","1637",338.7,744.7,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454027,453601,"011187","","laciag","1637",339.7,744.4,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454028,453602,"011188","","heisco","1637",337.3,744.1,NA,NA,NA,NA,NA,17610,"V",0,"gigante2",5,157
454029,453603,"011189","","mabeoc","1636",339.7,739.8,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454030,453604,"011190","","sloazu","1636",339.5,739.3,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454031,453605,"011191","","protpa","1636",338,738.2,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454032,453606,"011192","","tet2pa","1636",337.4,737.8,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454033,453607,"011193","","oenoma","1636",339.6,735.3,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454034,453608,"011194","","heisco","1636",335.6,734,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454035,453609,"011195","","beilpe","1636",335.6,732.1,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454036,453610,"011196","","tet2pa","1636",336.9,731.6,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454037,453611,"011197","","swars2","1636",335.3,730.4,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454038,453612,"011198","","alsebl","1636",338.9,730.9,NA,NA,NA,NA,NA,17609,"V",0,"gigante2",5,157
454039,453613,"011199","","swars2","1736",340.3,730.9,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454040,453614,"011200","","pipecu","1736",342.5,730.3,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454041,453615,"011201","","oenoma","1736",340.3,734.7,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
454042,453616,"011202","","ery2ma","1736",343,733.1,NA,NA,NA,NA,NA,17616,"V",0,"gigante2",5,157
